iter	Logloss
159	0.3944861594
160	0.3942823089
161	0.3939847625
162	0.3936699428
163	0.3932700854
164	0.3929979131
165	0.3926158434
166	0.392400463
167	0.3920067776
168	0.3919074669
169	0.3914521464
170	0.3908377229
171	0.3903506847
172	0.3900127625
173	0.3895390971
174	0.3893349037
175	0.389185659
176	0.3887680139
177	0.3883328384
178	0.3881107716
179	0.3876623089
180	0.3874154252
181	0.3870288977
182	0.3866897326
183	0.3862895323
184	0.38601676
185	0.3859267074
186	0.3856922535
187	0.3853376581
188	0.3851114766
189	0.3845754473
190	0.384244083
191	0.3839990423
192	0.3835592377
193	0.3833003955
194	0.3830018633
195	0.3826416959
196	0.3824390454
197	0.3821307836
198	0.3816445168
199	0.3812363014
200	0.3810564534
201	0.3808656328
202	0.3806217922
203	0.3803821092
204	0.3799431619
205	0.3797422259
206	0.3794946563
207	0.3792046965
208	0.3789595272
209	0.3785881728
210	0.378382222
211	0.378250765
212	0.3779777784
213	0.3776317982
214	0.3773045915
215	0.3771719772
216	0.376782578
217	0.3764596146
218	0.3763388302
219	0.3760724014
220	0.3759018116
221	0.375717506
222	0.3753791552
223	0.3751182128
224	0.3749992713
225	0.3748941314
226	0.3748110225
227	0.3745717252
228	0.3743661602
229	0.374110404
230	0.3739144829
231	0.3737181331
232	0.3736946877
233	0.3736324525
234	0.3733943982
235	0.3732004916
236	0.3729898688
237	0.37273527
238	0.372429837
239	0.3722948653
240	0.3722570184
241	0.3721409487
242	0.3719444704
243	0.371679456
244	0.3715229677
245	0.371323832
246	0.3710316004
247	0.3708658968
248	0.3706606318
249	0.3704908564
250	0.3701589777
251	0.3697540626
252	0.3697321602
253	0.3696216197
254	0.3694711321
255	0.3691362531
256	0.3690002527
257	0.3687876155
258	0.3684136894
259	0.368209496
260	0.3679322232
261	0.3677790781
262	0.3676965263
263	0.3675002195
264	0.3674066094
265	0.3672808529
266	0.3670860891
267	0.3669743056
268	0.3667951434
269	0.3666981901
270	0.3664572641
271	0.3661264998
272	0.3659130482
273	0.365805208
274	0.3656565205
275	0.3654191092
276	0.3652258026
277	0.3651081042
278	0.3649175408
279	0.3646419825
280	0.3645154117
281	0.3643407929
282	0.3640788218
283	0.3640311595
284	0.3637493434
285	0.3636592908
286	0.363552565
287	0.3633824038
288	0.3631765387
289	0.3629958335
290	0.3628224148
291	0.3626713271
292	0.3626284224
293	0.3625754024
294	0.3624062699
295	0.3621942756
296	0.3620788488
297	0.3620140419
298	0.3619707086
299	0.3618814704
300	0.3618088626
301	0.3616184706
302	0.3613593712
303	0.361243473
304	0.3611355042
305	0.3611018149
306	0.3610141197
307	0.3608282282
308	0.360588931
309	0.360455888
310	0.360321945
311	0.3602478799
312	0.360173729
313	0.3600901057
314	0.3599670496
315	0.3597351246
316	0.3595670636
317	0.3594809543
318	0.3594474578
319	0.3593885443
320	0.359258716
321	0.3591699707
322	0.3590960342
323	0.3589923944
324	0.358733788
325	0.3585268299
326	0.3583445388
327	0.3581079419
328	0.3580848822
329	0.3579387022
330	0.3577707484
331	0.357504834
332	0.3574741021
333	0.3574200962
334	0.3573495672
335	0.3572993332
336	0.3572841816
337	0.3571714123
338	0.3571207068
339	0.3568906463
340	0.3568766305
341	0.3568154453
342	0.3567300218
343	0.3566676151
344	0.3565155415
345	0.3563733262
346	0.3562857167
347	0.356222067
348	0.3561503378
349	0.3560215811
350	0.3558295604
351	0.3556737364
352	0.3553047823
353	0.3551405574
354	0.3550389322
355	0.3550231591
356	0.3549567448
357	0.3548004708
358	0.3545686958
359	0.3544026064
360	0.354295152
361	0.3542196938
362	0.3542002346
363	0.3540764712
364	0.3538769926
365	0.3537264192
366	0.3536610121
367	0.3535823822
368	0.3535086814
369	0.3534175144
370	0.3533245472
371	0.3532341303
372	0.3531311549
373	0.3529893682
374	0.3529043948
375	0.352721375
376	0.3526614757
377	0.3525825243
378	0.3524941862
379	0.3524121274
380	0.3520873423
381	0.3520729836
382	0.3520331436
383	0.3519777877
384	0.3518851848
385	0.3517931606
386	0.3516757622
387	0.3513745726
388	0.3511607567
389	0.3510692039
390	0.3509854735
391	0.350870111
392	0.3508210986
393	0.3507573417
394	0.3506783475
395	0.3506027607
396	0.3505100722
397	0.3504199339
398	0.3502347282
399	0.350180208
400	0.3500307705
401	0.3499128577
402	0.3498962274
403	0.3497165294
404	0.3497009706
405	0.3495420606
406	0.3493900513
407	0.3493589337
408	0.3491202794
409	0.3490777605
410	0.3490013594
411	0.3489662556
412	0.3488686594
413	0.3488015164
414	0.3487049489
415	0.3486536862
416	0.3486381274
417	0.3485421599
418	0.3485202789
419	0.3483871074
420	0.3483412239
421	0.3481674194
422	0.3479019765
423	0.3477697265
424	0.3477107702
425	0.3476011726
426	0.3475850137
427	0.3475544533
428	0.3473361155
429	0.347305255
430	0.3471179062
431	0.347091289
432	0.3469915497
433	0.3468939106
434	0.3468306252
435	0.3467204062
436	0.3466243315
437	0.3465543597
438	0.346457835
439	0.3463620818
440	0.3462758439
441	0.3461578455
442	0.3461528307
443	0.346123106
444	0.3461052541
445	0.3460364824
446	0.3457988782
447	0.3456198446
448	0.345350887
449	0.3451786684
450	0.3449899052
451	0.344898331
452	0.3448130147
453	0.3447489149
454	0.3446504186
455	0.3444731852
456	0.3444590194
457	0.3444477467
458	0.3442851292
459	0.3441538864
460	0.3440891437
461	0.344075878
462	0.3440022844
463	0.3439273191
464	0.34377666
465	0.3436010554
466	0.3435185036
467	0.3434049628
468	0.3431608222
469	0.343159772
470	0.3430819994
471	0.3430020622
472	0.3429219535
473	0.3428689549
474	0.3428652903
475	0.3427040443
476	0.3426540246
477	0.3426289933
478	0.3425812025
479	0.3425727158
480	0.3425002366
481	0.3424209852
482	0.3423328614
483	0.3421823309
484	0.3421059941
485	0.342101365
486	0.3420767409
487	0.3419000004
488	0.3418063475
489	0.3416243135
490	0.3415448478
491	0.3414149981
492	0.3412895846
493	0.3411710718
494	0.3411603778
495	0.3410726397
496	0.3409529268
497	0.3409215949
498	0.3408806833
499	0.3407630706
500	0.3405881303
501	0.3404466436
502	0.3403979098
503	0.3403095288
504	0.3402413572
505	0.3401560408
506	0.3401398819
507	0.3399880227
508	0.3399158006
509	0.3398365921
510	0.3396827826
511	0.3395638198
512	0.3395172505
513	0.3395090853
514	0.3394421138
515	0.3393813144
516	0.3393488037
517	0.339244071
518	0.3392009306
519	0.3390011091
520	0.338964548
521	0.3389438886
522	0.3389060417
523	0.33885045
524	0.3388042021
525	0.3387443242
526	0.3386910685
527	0.3386225754
528	0.3385925936
529	0.3385532465
530	0.3384991764
531	0.3384331907
532	0.3383714054
533	0.3382934185
534	0.3382793598
535	0.3382644653
536	0.338262708
537	0.3382420701
538	0.3381264076
539	0.3380459775
540	0.3377612896
541	0.3375536029
542	0.3375335436
543	0.3375114698
544	0.337501483
545	0.3374389048
546	0.3374074443
547	0.3373703689
548	0.3373338292
549	0.3372479128
550	0.337243498
551	0.3372266534
552	0.3372001434
553	0.3371690472
554	0.3370117445
555	0.3369644465
556	0.3369143625
557	0.336828339
558	0.3367152268
559	0.3365666679
560	0.3364513697
561	0.3362573559
562	0.336219959
563	0.3361053038
564	0.3360114794
565	0.3359506586
566	0.335850512
567	0.3357466794
568	0.3356085788
569	0.3354588626
570	0.3353888694
571	0.3353682957
572	0.3353482793
573	0.3351459932
574	0.335095052
575	0.3350359885
576	0.3349910693
577	0.334805285
578	0.3346661986
579	0.3346022917
580	0.3345532149
581	0.3344877436
582	0.3344545257
583	0.3343490215
584	0.3342865719
585	0.3342718274
586	0.3341750456
587	0.3341565507
588	0.3340977229
589	0.3340694342
590	0.333915539
591	0.3338943224
592	0.3338868859
593	0.3338580614
594	0.3338173427
595	0.3335226252
596	0.3332525532
597	0.333071848
598	0.3329913107
599	0.3329695155
600	0.332913388
601	0.3328999294
602	0.332699765
603	0.3326322791
604	0.3325607
605	0.3324607249
606	0.3324518954
607	0.3323004005
608	0.3321822091
609	0.3321578637
610	0.3320635678
611	0.3319859451
612	0.3319010788
613	0.3317399186
614	0.3317046219
615	0.3314969352
616	0.3314263847
617	0.3313562629
618	0.3313170229
619	0.3312482727
620	0.3311958527
621	0.3311696428
622	0.3311113079
623	0.331063517
624	0.3310165405
625	0.3309654493
626	0.330823684
627	0.3307573983
628	0.3307236232
629	0.3305733713
630	0.3304075605
631	0.3303778359
632	0.3302339275
633	0.330093641
634	0.3300474788
635	0.3300194044
636	0.3300131251
637	0.3299293089
638	0.3298833611
639	0.3297821002
640	0.3297176147
641	0.3296438067
642	0.3294977552
643	0.329408217
644	0.3293779995
645	0.3293484248
646	0.3293149284
647	0.3292533146
648	0.3290831748
649	0.3290609081
650	0.3290358983
651	0.3289545038
652	0.3289494461
653	0.3288782527
654	0.3288564575
655	0.328846685
656	0.3287017479
657	0.3285629187
658	0.3284847388
659	0.3284399911
660	0.3283751841
661	0.3282034156
662	0.3280095518
663	0.3279435661
664	0.3279185777
665	0.3279128771
666	0.3278551852
667	0.3278009007
668	0.3277497667
669	0.3277211993
670	0.3276803949
671	0.3276114303
672	0.3276036723
673	0.3274945677
674	0.3273980859
675	0.327284395
676	0.327256192
677	0.3271883847
678	0.3271543096
679	0.3271265351
680	0.3271164626
681	0.3270165518
682	0.3269186984
683	0.3268199235
684	0.326805179
685	0.3266728862
686	0.3265555521
687	0.3265277777
688	0.3263962992
689	0.3263867839
690	0.326309247
691	0.3262693855
692	0.3262623776
693	0.3261750896
694	0.326100103
695	0.3259932914
696	0.325947858
697	0.3258829867
698	0.3257833759
699	0.3257766038
700	0.3256749357
701	0.3256194725
702	0.3255440358
703	0.3255094464
704	0.3254439536
705	0.3253276911
706	0.3252340381
707	0.3252033705
708	0.3251412638
709	0.3250754281
710	0.3249664307
711	0.3249080958
712	0.3248477464
713	0.3247657947
714	0.3247205327
715	0.3246706845
716	0.3245412634
717	0.3243748526
718	0.3243180179
719	0.3242905863
720	0.3241822746
721	0.3239582576
722	0.3239005014
723	0.323863726
724	0.3238274435
725	0.3237291615
726	0.3237195176
727	0.3236604326
728	0.3236353156
729	0.3235780523
730	0.3235474061
731	0.3234269217
732	0.323356757
733	0.3232402373
734	0.3232049406
735	0.323169644
736	0.3229962038
737	0.3228814629
738	0.3228605892
739	0.3227644931
740	0.3227034151
741	0.322579116
742	0.3225478269
743	0.3224373721
744	0.3224068331
745	0.3223462694
746	0.3222855343
747	0.3221283816
748	0.3220842769
749	0.3220563096
750	0.3219630638
751	0.3219443332
752	0.3217989461
753	0.3216577594
754	0.3216108686
755	0.3215572486
756	0.321471525
757	0.3214134688
758	0.3213787936
759	0.3212992636
760	0.3212989207
761	0.3211463757
762	0.3211306454
763	0.3210870979
764	0.3209747786
765	0.3208609163
766	0.3207923375
767	0.3207813434
768	0.320771721
769	0.320647529
770	0.3206154898
771	0.320563177
772	0.3205510686
773	0.3205292091
774	0.3203487611
775	0.3202453999
776	0.3201376669
777	0.3199735706
778	0.3198305194
779	0.3197005411
780	0.3196170678
781	0.3195589473
782	0.3195202431
783	0.319456079
784	0.3193445099
785	0.3193391736
786	0.3193290153
787	0.3191132492
788	0.3189546178
789	0.3189090343
790	0.3188394268
791	0.318773934
792	0.3187515173
793	0.3186621077
794	0.3185297291
795	0.3185249071
796	0.3184696155
797	0.3183300147
798	0.3182897246
799	0.3182599786
800	0.3182541065
801	0.3181688759
802	0.318132079
803	0.3181284358
804	0.3180066227
805	0.3179797269
806	0.3179711974
807	0.3179597105
808	0.3179351292
809	0.3178669362
810	0.3178002004
811	0.3177374079
812	0.3177350291
813	0.3174977249
814	0.3173052327
815	0.317193685
816	0.3171309353
817	0.3170738649
818	0.3170585847
819	0.3169104115
820	0.3167953706
821	0.3166141296
822	0.3166098434
823	0.3165940703
824	0.3165692747
825	0.3165656743
826	0.3164464543
827	0.3163832761
828	0.3163508297
829	0.3162783505
830	0.3162151294
831	0.3161504724
832	0.3160951593
833	0.3159061603
834	0.3158786216
835	0.3157784537
836	0.3156815647
837	0.3156195437
838	0.3155130965
839	0.3153910262
840	0.3152804428
841	0.3152665556
842	0.315260405
843	0.3150590189
844	0.3150070062
845	0.3149767029
846	0.3149658803
847	0.314825358
848	0.3147375557
849	0.3147131459
850	0.3145849249
851	0.3144836211
852	0.3143625795
853	0.3143040518
854	0.3142320869
855	0.3142114918
856	0.3140446095
857	0.3139002939
858	0.3138742983
859	0.3138149347
860	0.3137918537
861	0.3137822955
862	0.3136497883
863	0.313592675
864	0.3135268608
865	0.3134638111
866	0.3133603642
867	0.3133310897
868	0.3131736584
869	0.3130302644
870	0.3130045473
871	0.3129880884
872	0.3128213347
873	0.3127425119
874	0.3127160662
875	0.3126264422
876	0.3126044541
877	0.3125844377
878	0.3125658785
879	0.3125287602
880	0.3124330071
881	0.3123773296
882	0.3122601884
883	0.3122318139
884	0.3120771472
885	0.3120029535
886	0.3119168014
887	0.3118305849
888	0.3118189265
889	0.3117182871
890	0.3116498369
891	0.3116341494
892	0.3115849656
893	0.3115212944
894	0.3114414215
895	0.3113364745
896	0.3113221372
897	0.311258166
898	0.3112162472
899	0.3111522546
900	0.3111504115
901	0.3110402568
902	0.3109786644
903	0.3108776393
904	0.3108105177
905	0.3107589336
906	0.3107318235
907	0.3106815038
908	0.3105924799
909	0.3105473036
910	0.310476796
911	0.3104204542
912	0.3103825001
913	0.3102493286
914	0.3102361272
915	0.3100871611
916	0.3100150891
917	0.3098427633
918	0.3097308298
919	0.3096828675
920	0.3096354195
921	0.3095234432
922	0.3094488851
923	0.3094321262
924	0.3093713482
925	0.3092184174
926	0.3091690835
927	0.3091401732
928	0.3091099343
929	0.3090330403
930	0.3088530208
931	0.3086503275
932	0.3085898924
933	0.3085137057
934	0.3084203742
935	0.3083296787
936	0.3083095551
937	0.3082893886
938	0.308286474
939	0.3081022327
940	0.3080488912
941	0.3078971391
942	0.3078249385
943	0.3077972284
944	0.3077687896
945	0.3076149158
946	0.3075783547
947	0.3074566702
948	0.3073918203
949	0.3073821979
950	0.3073597597
951	0.3072404754
952	0.3072314316
953	0.3071795474
954	0.3071308136
955	0.3070914022
956	0.3070450258
957	0.3069972992
958	0.3069596023
959	0.3068839084
960	0.3068515049
961	0.3067878766
962	0.3067206051
963	0.3066208014
964	0.306617694
965	0.3065553515
966	0.3065292273
967	0.3064170366
968	0.3063102894
969	0.306185133
970	0.306132263
971	0.3061125037
972	0.3060402388
973	0.3058646556
974	0.3058290803
975	0.3058156217
976	0.3056557687
977	0.3056485894
978	0.3055061812
979	0.3054028629
980	0.3053654446
981	0.3053019234
982	0.3052547326
983	0.3051858538
984	0.3051073953
985	0.3050290226
986	0.3050152211
987	0.3050054914
988	0.3049784028
989	0.3048709484
990	0.3048585399
991	0.3047289473
992	0.3046390233
993	0.3044914931
994	0.3043176458
995	0.3042807418
996	0.3042547033
997	0.3040991794
998	0.304073548
999	0.3040463308
